question,reference_answer,generated_answer,exact_match,token_f1,bert_f1
জন্ম-মৃত্যু সংশোধনে সংযুক্তির ফাইল সাইজ কত?,"BDRIS সংশোধন আবেদনে সাধারণত .jpg, .jpeg বা .png ইমেজ ফাইল আপলোড করা যায় এবং প্রতিটি ফাইলের সর্বোচ্চ সাইজ ২ মেগাবাইট হওয়া উচিত।",জন্ম-মৃত্যু সংশোধনে সংযুক্তির ফাইল সাইজ ২ মেগাবাইট থাকতে হয়।,0.0,0.25000000000000006,0.7440168261528015
বিদেশ থেকে ৪৮ পৃষ্ঠা ১০ বছর রেগুলার ই-পাসপোর্টে কত ডলার লাগে?,বিদেশস্থ বাংলাদেশ মিশনে সাধারণ আবেদনকারীর জন্য ৪৮ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১২৫ মার্কিন ডলার।,বিদেশ স্থানে অনলাইন আবেদন করার সময় পেমেন্ট পেইজে ৪৮ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১৭৫ মার্কিন ডলার।,0.0,0.6190476190476191,0.9137288928031921
বাংলাদেশ মিশনে ৪৮ পৃষ্ঠা ১০ বছর এক্সপ্রেস ফি কত?,বিদেশস্থ বাংলাদেশ মিশনে সাধারণ আবেদনকারীর জন্য ৪৮ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের এক্সপ্রেস ডেলিভারি ফি ১৭৫ মার্কিন ডলার।,১৫০ মার্কিন ডলার।,0.0,0.1739130434782609,0.6772679686546326
স্মার্ট এনআইডি কার্ডে কী ধরনের তথ্য সংরক্ষিত থাকে?,স্মার্ট এনআইডি কার্ডে চিপের মাধ্যমে নাগরিকের ব্যক্তিগত তথ্য নিরাপদভাবে সংরক্ষিত থাকে।,"স্মার্ট এনআইডি কার্ডে ব্যক্তির নাম, জন্ম তারিখ, এনআইডি নম্বর, ছবি, ফিডচার্ট, এবং অন্যান্য প্রয়োজনীয় তথ্য সংরক্ষিত থাকে।",0.0,0.42857142857142855,0.805682897567749
বাংলাদেশে ৪৮ পৃষ্ঠা ৫ বছর রেগুলার পাসপোর্ট ফি কত?,"বাংলাদেশের অভ্যন্তরে ৪৮ পৃষ্ঠা ও ৫ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১৫% ভ্যাটসহ ৪,০২৫ টাকা।","৬,০৫০ টাকা।",0.0,0.09523809523809525,0.7009093165397644
বিদেশ থেকে ৬৪ পৃষ্ঠা ১০ বছর রেগুলার ই-পাসপোর্টে কত ডলার লাগে?,বিদেশস্থ বাংলাদেশ মিশনে সাধারণ আবেদনকারীর জন্য ৬৪ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১৭৫ মার্কিন ডলার।,বিদেশ স্থানে ৬৪ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১৭৫ মার্কিন ডলার।,0.0,0.7777777777777777,0.9091894030570984
obtaining_tin.txt গাইড অনুযায়ী ম্যানুয়াল টিআইএন সার্টিফিকেট পেতে সাধারণত কত সময় লাগে?,obtaining_tin.txt গাইড অনুযায়ী ম্যানুয়াল প্রক্রিয়ায় ই-টিআইএন সার্টিফিকেট পেতে সাধারণত ১ দিন সময় লাগে।,সাধারণত ১৫ কার্যদিবস লাগে।,0.0,0.2,0.7014511823654175
প্রতি বছর কি টিআইএন নবায়ন করা বাধ্যতামূলক?,না। টিআইএন স্থায়ী এবং প্রতি বছর নবায়ন করতে হয় না।,হ্যাঁ। প্রতি বছর টিআইএন নবায়ন করতে হয়।,0.0,0.7058823529411764,0.8592555522918701
আমার অ্যাকাউন্টের ই-মেইল পরিবর্তন করা যাবে?,না। ই-পাসপোর্ট অনলাইন অ্যাকাউন্টে ব্যবহৃত ই-মেইল পরিবর্তন করা যায় না। সমস্যা হলে ভিন্ন ই-মেইল দিয়ে নতুন অ্যাকাউন্ট তৈরি করতে বলা হয়েছে।,হ্যাঁ। লগইন করে অ্যাকাউন্ট সেটিংস থেকে ই-মেইল পরিবর্তন করা যায়।,0.0,0.34285714285714286,0.7885233163833618
অফিসে গিয়ে মৃত্যু নিবন্ধন করা যায়?,"ফিজিক্যালভাবে মৃত্যু নিবন্ধনের জন্য সংশ্লিষ্ট নিবন্ধক কার্যালয়ে গিয়ে মৃত ব্যক্তির পরিচয়, মৃত্যুর প্রমাণপত্র, মৃত্যুর তারিখ ও স্থান, মৃত্যুর কারণ এবং আবেদনকারীর সম্পর্কের তথ্য জমা দিতে হয়। যাচাই শেষে মৃত্যু নিবন্ধন সম্পন্ন করা হয়।",হ্যাঁ। মৃত্যুর প্রমাণপত্র ও স্বাস্থ্যকর্মী বা হাসপাতালের প্রত্যয়ন ও আবেদনপত্র লাগতে পারে।,0.0,0.13333333333333333,0.7270724773406982
